GiftRegistryFlag,LoyaltyMember,NPSSegments,nps,ShipDays,TransitDays,DaysToArrive,Backorder,NumOfPackages,DeliverySelection,DeliveryFee,units,retail,APPAREL,BEAUTY,HANDBAGS AND ACCESSORIES,home,JEWELRY,shoes,Carrier,OnTime,LateReason,Accurate,InaccurateReason,GoodCondition,BadConditionReason,EmailClear,PricesClear,PromotionsValid,RewardsGood,ValueItemGood,ReturnEasy,DeliveryFast,AgentAvailable,AgentEffective,ContactedCsAgent,NumCSContacts,LevelOfEffort,PromotersMostImportant,NotRecommendReason,TellFriends,AdditionalFeedback,DidNotFind
No,Yes,Detractor,0,1,3,4,N,1,Standard,0,1,159.99,,,,Y,,,FedEx,When expected,NULL,No,Received item did not match invoice,No,Item damaged due to improper packing,No,NULL,0,NULL,NULL,0,0,NULL,0,Yes by email,Issue still unresolved,Very low effort,NULL,Customer Support,"service is not good. very poor and bad Your store sent me wrong item. I asked them to give money back, but they refused. service is so so so bad","Your store sent me wrong item.  I asked your store to give money back, but you didn't",NULL
No,Yes,Promoter,10,0,3,3,N,1,Standard,0,1,135.99,Y,,,,,,FedEx,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,99,99,10,99,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,NULL,NULL,NULL
No,Yes,Promoter,10,3,3,6,N,1,Standard,0,5,114.35,,,,Y,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,99,10,10,99,10,NULL,NULL,No,NULL,NULL,Website Shopping Experience,NULL,It easy to use the website. The check out process is smooth.,NULL,NULL
No,Yes,Promoter,10,0,3,3,N,1,Standard,9.95,1,34.99,Y,,,,,,Smart Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,8,10,10,10,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,NULL,NULL,NULL
No,Yes,Promoter,10,1,3,4,N,1,Standard,9.95,2,44.98,,,,Y,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,5,7,99,10,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,NULL,NULL,NULL
No,Yes,Promoter,10,0,3,3,N,2,Buy Online Pick Up In Store,0,4,103.16,Y,,,,,,Sure Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,0,3,5,8,10,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,NULL,NULL,NULL
No,Yes,Promoter,10,0,3,3,N,1,Standard,0,1,99.99,Y,,,,,,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,10,10,10,10,Yes by phone,1 time,High effort,Customer Support,NULL,Yes,Excellent,NULL
No,Yes,Promoter,10,0,3,3,N,1,Standard,0,1,165.59,,,,Y,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,6,10,10,10,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,NULL,NULL,NULL
No,Yes,Promoter,10,0,3,3,N,1,Standard,9.95,1,93.49,Y,,,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,99,2,8,9,10,10,NULL,NULL,No,NULL,NULL,Website Shopping Experience,NULL,It's so easy to shop online  Delivery is fast and you get what you order,NULL,NULL
No,Yes,Promoter,9,0,3,3,N,1,Standard,0,4,114.16,Y,,,,,,UPS,Cannot Answer,NULL,Cannot Answer,NULL,Cannot Answer,NULL,Yes,10,8,99,8,10,5,NULL,NULL,No,NULL,NULL,Website Shopping Experience,NULL,NULL,NULL,NULL
No,Yes,Promoter,10,0,3,3,N,1,Standard,0,1,167.99,Y,,,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,1,8,7,10,10,10,10,Yes by phone,1 time,Very low effort,Customer Support,NULL,NULL,NULL,NULL
No,No,Promoter,10,1,3,4,N,2,Standard,0,3,118.57,Y,,Y,Y,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,99,8,99,10,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,NULL,NULL,NULL
No,Yes,Promoter,10,0,3,3,N,1,Standard,0,1,110.81,Y,,,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,NULL,7,NULL,NULL,9,10,10,10,Yes by phone,1 time,Very low effort,Product Delivery,NULL,NULL,NULL,NULL
No,Yes,Promoter,10,1,3,4,N,1,Standard,0,1,82.87,Y,,,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,0,10,99,9,10,NULL,NULL,No,NULL,NULL,Website Shopping Experience,NULL,like the convience,NULL,NULL
No,Yes,Detractor,0,1,3,4,N,1,Standard,0,2,294.78,Y,,,,,,UPS,When expected,NULL,No,Website photo / information unclear or incorrect,Yes,NULL,Yes,10,10,10,10,99,5,0,0,Yes by phone,Issue still unresolved,High effort,NULL,Customer Support,I ordered a North Face Jacket and was shipped the wrong jacket three times. I called customer service several times and had to request a person in the USA to speak to rather than the person in Peru that I had a hard time understanding.,I find it was a waste of time ordering from the computer. I am handicapped and thought it would be easier for me. Several times I attempted to tell customer service that I got the wrong jacket and they assured me it would come correct the next delivery. Three times and I had to travel to the store to make the return. Im not a happy customer.,NULL
No,Yes,Promoter,9,1,4,5,N,3,Standard,0,4,50.97,Y,,,,,,UPS,Cannot Answer,NULL,Yes,NULL,Yes,NULL,Yes,9,7,9,9,99,8,NULL,NULL,No,NULL,NULL,Product Delivery,NULL,"Avoid the hastle of crowds, waiting in lines, and trying to find a parking space.  Shop online and have the package delivered right to your door.  Sometimes the site froze due to high volume. Other than that, it was easy and convenient. Your coupons are accepted and there is a wide variety to choose from.",NULL,NULL
No,Yes,Passive,8,1,4,5,N,1,Standard,0,1,89.99,Y,,,,,,UPS,Cannot Answer,NULL,Cannot Answer,NULL,Cannot Answer,NULL,Yes,10,0,0,0,9,8,NULL,NULL,No,NULL,NULL,NULL,Price & Value,"Good Selection of items that I was looking for.    Unable to use ""Rewards"" online.",NULL,NULL
No,Yes,Promoter,10,1,4,5,N,2,Standard,0,2,135.99,,,,Y,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,9,99,9,99,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,NULL,NULL,NULL
No,Yes,Passive,8,1,4,5,N,2,Standard,0,6,63.94,,,,Y,,,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,9,8,7,8,6,9,NULL,NULL,No,NULL,NULL,NULL,Product Delivery,Like the quality and value of products,NULL,NULL
No,Yes,Detractor,1,1,4,5,N,3,Standard,0,3,42.98,Y,,,,,,UPS,Cannot Answer,NULL,Yes,NULL,Yes,NULL,Yes,8,10,1,5,5,1,NULL,NULL,No,NULL,NULL,NULL,Product Selection & Availability,I don't like the fact that you have the same thing on there over and over I don't need 13 pages of 10 of the same items,NULL,I got tired of all the pages
No,Yes,Promoter,10,1,4,5,N,1,Standard,0,1,149.99,Y,,,,,,Smart Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,9,10,9,10,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,Easy process and quick delivery,NULL,NULL
No,No,Promoter,9,1,4,5,N,1,Standard,0,1,33.75,,,,Y,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,9,8,8,8,8,9,NULL,NULL,No,NULL,NULL,Price & Value,NULL,NULL,NULL,NULL
No,Yes,Passive,8,0,4,4,N,2,Standard,9.95,3,53.97,Y,,,,,Y,Smart Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,9,9,9,9,99,8,2,8,Yes by phone,2 or more times,Very low effort,NULL,Customer Support,NULL,NULL,NULL
No,Yes,Passive,8,1,4,5,N,1,Standard,0,1,55.99,Y,,,,,,UPS,When expected,NULL,Yes,NULL,No,Item damaged due to improper packing,Yes,6,1,5,4,9,5,NULL,NULL,No,NULL,NULL,NULL,Product Selection & Availability,NULL,NULL,NULL
No,No,Promoter,10,0,4,4,N,1,Standard,0,1,50.99,,,Y,,,,Sure Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,8,10,10,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,NULL,NULL,NULL
No,Yes,Promoter,9,1,4,5,N,1,Standard,0,1,89.99,,,,Y,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,4,9,9,10,10,NULL,NULL,No,NULL,NULL,Website Shopping Experience,NULL,NULL,"The only complaint I have with ordering online is that I have never been able to use a coupon.  Each time it was on a product for the home.   When I try, it tells me not eligible.  The items should have been.  As the items were not available in my local store, I went through with the purchase.",NULL
No,Yes,Promoter,10,2,4,6,N,1,Standard,0,3,32.97,Y,,,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,99,99,10,99,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,NULL,NULL,NULL
No,Yes,Detractor,6,1,4,5,N,1,Standard,0,3,144.47,,,,Y,,,UPS,Cannot Answer,NULL,Cannot Answer,NULL,Cannot Answer,NULL,Cannot Answer,8,8,99,8,99,7,10,10,Yes by phone,2 or more times,Moderate effort,NULL,Price & Value,NULL,NULL,NULL
No,No,Promoter,10,1,4,5,N,1,Standard,0,1,42,,,,,,,USPS,Cannot Answer,NULL,Cannot Answer,NULL,Cannot Answer,NULL,Yes,10,10,99,10,99,99,NULL,NULL,No,NULL,NULL,Price & Value,NULL,I love the fact that I can make purchases directly from my phone without any issues.  Most times I am on the go and cannot use a computer all the time.  Makes it easier to get what I want.,NULL,"Sunham Co Usa ""Greenwich 580tc"
No,No,Promoter,10,1,4,5,N,1,Standard,0,1,119.99,,,,Y,,,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,99,10,10,10,Yes by phone,1 time,Very low effort,Product Selection & Availability,NULL,NULL,NULL,NULL
No,Yes,Passive,8,1,4,5,N,1,Standard,0,1,14.99,,,,Y,,,FedEx,When expected,NULL,Yes,NULL,Yes,NULL,Yes,9,10,7,10,10,10,1,1,Yes by phone,Issue still unresolved,Very high effort,NULL,Customer Support,For the most part I like the site. I'm am having an issue with outdated merchandise in my cart that I cannot remove. Until then I can't place online orders. Not a good thing this time of the year.,Please provide a Web support contact. My issue could easily be resolved by them. I had to call Cust Support to place my order and told them about my problem. He readily took the order but did nothing to help my Cart issue.,NULL
No,Yes,Promoter,10,1,4,5,N,1,Standard,0,2,42.98,Y,,,,,,Smart Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,10,10,10,10,Yes by phone,1 time,Very high effort,Price & Value,NULL,NULL,Website is slow down sometimes,NULL
No,No,Promoter,10,1,4,5,N,2,Standard,0,2,33.98,Y,,,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,10,10,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,NULL,NULL,NULL
No,Yes,Promoter,9,1,4,5,N,1,Standard,0,4,24.96,Y,,,,,,USPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,99,10,9,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,fast and easy,NULL,NULL
No,Yes,Detractor,0,0,4,4,N,2,Standard,0,2,127.49,,,,Y,,,UPS,Earlier than expected,NULL,No,Received item did not match invoice,No,None of the above,Yes,6,0,0,2,6,10,NULL,2,Yes by email,2 or more times,Moderate effort,NULL,Product Delivery,"I am highly disappointed with my online purchase. On one product, I was sent a wrong shipment and on the second product, mail in rebate information was not sent.",I am a regular Companys customer but was disappointed this time,NULL
No,Yes,Promoter,9,1,4,5,N,2,Standard,0,7,101.94,Y,Y,,,,,Sure Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,5,10,10,99,10,NULL,NULL,No,NULL,NULL,Product Delivery,NULL,Easy ordering but sometimes have a problem accepting coupon codes.,NULL,NULL
No,Yes,Promoter,10,1,4,5,N,1,Standard,0,3,87.73,Y,,,Y,,,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,7,5,8,7,9,8,NULL,NULL,No,NULL,NULL,Price & Value,NULL,NULL,NULL,NULL
No,No,Promoter,9,1,2,3,N,1,Standard,0,3,29.95,Y,,,,,,Smart Post,Earlier than expected,NULL,No,None of the above,Yes,NULL,Yes,9,99,99,9,9,9,NULL,NULL,No,NULL,NULL,Price & Value,NULL,"items were cute, and priced just right!","i ordered 4 infant outfits, all newborn size. when the items came, i got 3 newborns and 1 0 to 3 months. which was no big deal. i gave my daughter the 3 outfits and saved the 0 to 3 month 1 for xmas. no biggie.",NULL
No,No,Promoter,10,1,2,3,N,1,Standard,0,1,29.99,,,,,,Y,Sure Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,5,10,10,10,10,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,I would tell them I love shopping at Companys.com! It's easy and your order will arrive when they say it will; sometimes sooner.   I don't like to continue being asked if I want to talk to a Companys rep. I also don't like how items in your shopping bag can become unavailable so quickly!,OVERALL I LOVE SHOPPING AT Companys!!!! WHETHER IT'S Companys.COM OR AT ONE OF ITS MANY STORES!! THEY HAVE THE BEST SELECTION AND PRICES!!! I AM A FOEVER CUSTOMER!!!,Most of the shoes I was interested in were no longer available in my size
No,Yes,Promoter,10,1,2,3,N,1,Standard,0,1,29.75,,,,,,Y,Sure Post,When expected,NULL,Cannot Answer,NULL,Cannot Answer,NULL,Cannot Answer,9,0,5,5,99,10,NULL,NULL,No,NULL,NULL,Product Delivery,NULL,"Good selection, good service, good price.  Very efficient.",NULL,NULL
No,Yes,Promoter,9,0,2,2,N,1,Standard,0,2,55.98,Y,,,,,,Smart Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,9,9,9,9,NULL,NULL,No,NULL,NULL,Price & Value,NULL,Very easy to purchase,NULL,NULL
No,Yes,Promoter,10,1,2,3,N,2,Standard,0,2,27.98,,,,Y,,Y,Sure Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,0,6,10,9,10,NULL,NULL,No,NULL,NULL,Product Delivery,NULL,Super fast shipping,Lightning speed shipping,NULL
No,No,Promoter,10,1,2,3,N,1,Standard,0,1,17.99,,,,,,,Smart Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,9,9,10,10,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,NULL,NULL,NULL
No,Yes,Promoter,10,1,2,3,N,2,Standard,0,3,25.97,,,,Y,,Y,Sure Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,99,10,10,10,Yes by phone,1 time,Very low effort,Product Selection & Availability,NULL,NULL,NULL,NULL
No,No,Passive,7,1,2,3,N,1,Standard,0,2,25.98,Y,,Y,,,,Mail Innovations,Cannot Answer,NULL,Yes,NULL,Yes,NULL,Yes,10,7,99,10,10,7,NULL,NULL,No,NULL,NULL,NULL,Product Delivery,"Lots of choices, prices on sale items are excellent. I used to shop at Kohl's but they screwed up on-line orders so badly, I won't shop there again. I also like that Company's is only a short distance from my house, so I can buy on-line and exchange or return items, and if I am up to it, I can just shop there. Orders came earlier than expected, from UPS, but delayed without explanation from FedEx. It took several days for them to update status.",I am very pleased with the service in getting prompt acknowledgement of my order. I only wish I could have had some of the items I purchased be delivered to another address. I did not do that because I would have had to pay shipping on that part of the order because it was under the dollar limit for free shipping.,NULL
No,No,Promoter,10,1,2,3,N,1,Standard,0,1,27.65,Y,,,,,,Mail Innovations,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,5,5,5,7,10,NULL,NULL,No,NULL,NULL,Product Delivery,NULL,NULL,It was my first time shopping at Company's.com and I will shop again,NULL
No,No,Promoter,10,1,2,3,N,1,Standard,0,1,119.99,Y,,,,,,Smart Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,99,10,10,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,NULL,NULL,NULL
No,Yes,Promoter,10,1,2,3,N,3,Standard,0,6,297.94,Y,,,,,Y,Sure Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,6,4,10,9,10,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,NULL,NULL,NULL
No,No,Promoter,10,1,2,3,N,1,Standard,0,2,28.73,Y,,,,,Y,Smart Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,7,99,10,10,10,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,NULL,NULL,NULL
No,Yes,Passive,7,1,2,3,N,1,Standard,0,1,66.99,Y,,,,,,Sure Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,9,8,5,6,10,10,NULL,NULL,No,NULL,NULL,NULL,Product Selection & Availability,I like Companys except I wear petite and all of Companys petite sizes are still way too long in dresses. I do not have this issue anywhere else that I shop.,NULL,petite size was way too long
No,Yes,Promoter,10,1,2,3,N,2,Standard,0,4,229.47,Y,,,,,,Sure Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,3,10,10,10,7,NULL,NULL,No,NULL,NULL,Website Shopping Experience,NULL,NULL,NULL,Levi's size on most were 31 in
No,Yes,Promoter,9,1,2,3,N,1,Standard,0,2,74.98,,,,,Y,,USPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,8,9,8,10,8,9,NULL,NULL,No,NULL,NULL,Price & Value,NULL,NULL,everything was good. even delivery arrived days before what  I had expected,NULL
No,Yes,Passive,7,1,2,3,N,3,Standard,0,5,59.95,Y,,,Y,Y,,USPS,Cannot Answer,NULL,Cannot Answer,NULL,Cannot Answer,NULL,Cannot Answer,10,10,10,10,10,99,NULL,NULL,No,NULL,NULL,NULL,Website Shopping Experience,NULL,The site takes an inordinate time to causing repetitive searches,NULL
No,Yes,Detractor,5,1,2,3,N,1,Standard,0,1,47.99,Y,,,,,,Sure Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,5,4,6,5,99,9,NULL,NULL,No,NULL,NULL,NULL,Customer Support,It took me about 3 or 4 different time to purchase on your site.  the site needs work,NULL,NULL
No,No,Promoter,10,1,2,3,N,2,Standard,0,3,19.97,Y,,,,,,Smart Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,5,99,10,8,10,NULL,NULL,No,NULL,NULL,Product Delivery,NULL,Faster than expected shipping!!,NULL,NULL
No,Yes,Promoter,9,1,2,3,N,2,Standard,0,2,37.49,,,,,,Y,Sure Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,8,8,7,8,9,10,NULL,NULL,No,NULL,NULL,Product Delivery,NULL,"Service was good, and products were expedited quickly.",I feel confident and secure when I shop online at Company's,NULL
No,Yes,Promoter,10,1,2,3,N,2,Standard,0,2,184.98,Y,,,,,,Sure Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,99,6,10,10,10,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,NULL,NULL,NULL
No,No,Passive,7,1,2,3,N,2,Standard,0,2,33.98,Y,,,,,,Sure Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,5,5,5,5,5,5,NULL,NULL,No,NULL,NULL,NULL,Product Selection & Availability,Packages were delivered in a timely fashion,NULL,NULL
No,No,Promoter,10,1,2,3,N,1,Standard,0,1,33.25,,,,,,Y,Sure Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,99,10,99,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,The website was people friendly and easy to use,None,NULL
No,Yes,Passive,8,0,2,2,N,2,Standard,0,2,59.81,,,,,,Y,Smart Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,99,4,99,8,10,10,NULL,NULL,No,NULL,NULL,NULL,Product Selection & Availability,I did not like that I would have items in my cart that would suddenly become not available and I would remove them then all the sudden they were available for purchase again.,NULL,Varied
No,No,Promoter,10,1,2,3,N,1,Standard,0,2,30.09,Y,,,,,Y,Smart Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,10,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,"Was a wonderful experience, will always shop Companys!!!",NULL,NULL
No,Yes,Promoter,10,2,2,4,N,1,Standard,0,3,50.97,Y,,,Y,,,Smart Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,9,10,10,10,9,NULL,NULL,No,NULL,NULL,Price & Value,NULL,Easy ordering and adding discounts is very easy,Love shopping at Company's,NULL
No,Yes,Promoter,10,0,2,2,N,2,Standard,0,2,160.98,Y,,,,,Y,Sure Post,When expected,NULL,No,Received item matched invoice but not ordered,Yes,NULL,Yes,10,10,10,10,10,10,NULL,NULL,No,NULL,NULL,Website Shopping Experience,NULL,"I needed help to order my boots, the only thing that happened, was I ordered two pair of boots, so I will send back on pair!!!!!   john","I ordered to many pairs of shoes , I have not had time to get to customer service but today it should  take place.  JOHN",NULL
No,Yes,Passive,8,2,2,4,N,2,Standard,0,3,48.97,Y,,,Y,,,Smart Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,9,1,5,7,7,8,NULL,NULL,No,NULL,NULL,NULL,Price & Value,NULL,NULL,NULL
No,Yes,Promoter,10,1,2,3,N,2,Standard,0,2,30.83,Y,,,,,,Sure Post,Cannot Answer,NULL,Cannot Answer,NULL,Cannot Answer,NULL,Yes,8,10,8,9,99,99,7,10,Yes by phone,1 time,Very low effort,Price & Value,NULL,The good deals when using star passes,NULL,NULL
No,No,Passive,8,0,2,2,N,1,Standard,0,2,29.98,Y,,,,,Y,Smart Post,When expected,NULL,No,Website photo / information unclear or incorrect,Yes,NULL,Yes,9,5,3,9,99,9,NULL,NULL,No,NULL,NULL,NULL,Product Selection & Availability,NULL,Boots I ordered are too large in the calf. Appear to be a wide calf boot. Will return if possible. They look sloppy.,NULL
No,No,Promoter,10,1,2,3,N,1,Standard,0,2,46.5,,,,,,,Mail Innovations,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,10,10,NULL,NULL,No,NULL,NULL,Website Shopping Experience,NULL,Me gusto,NULL,NULL
No,No,Promoter,10,1,2,3,N,1,Standard,0,1,28,,,,,Y,,Sure Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,NULL,99,NULL,NULL,99,10,NULL,NULL,No,NULL,NULL,Product Delivery,NULL,Fast service and item was perfect!,NULL,NULL
No,Yes,Promoter,10,1,2,3,N,2,Standard,0,3,74.97,,,Y,,,,Sure Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,99,99,10,99,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,"good selection, good discount",NULL,NULL
No,Yes,Passive,8,1,2,3,N,1,Standard,0,1,12.99,Y,,,,,,Sure Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,0,8,8,10,10,NULL,NULL,No,NULL,NULL,NULL,Price & Value,I really like being able to use coupons and offering customers free shopping on a 25 purchase.,I would like to have free shipping ALWAYS!!,NULL
No,No,Promoter,9,1,2,3,N,1,Standard,0,1,19.5,,Y,,,,,Smart Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,NULL,99,NULL,NULL,10,10,NULL,NULL,No,NULL,NULL,Product Delivery,NULL,NULL,NULL,NULL
No,Yes,Passive,7,2,2,4,N,1,Standard,0,1,171.99,,,Y,,,,Sure Post,Later than expected,Items on backorder,Yes,NULL,Yes,NULL,Yes,8,5,4,8,8,9,9,7,Yes by phone,2 or more times,Low effort,NULL,Price & Value,NULL,Cool,NULL
No,Yes,Promoter,10,0,2,2,N,1,Standard,0,1,25,,Y,,,,,Sure Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,10,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,How easy it was to make a purchase and feel like you were at the store with great pricing,NULL,NULL
No,Yes,Promoter,10,1,2,3,N,1,Standard,0,1,43.99,,,,,,Y,Sure Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,99,99,10,99,10,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,Very happy with what I ordered & like how Company's stays in touch when it comes to shipment.   I also like how you can zoom in on an item.,NULL,NULL
No,No,Promoter,10,0,2,2,N,2,Standard,0,3,172.99,Y,,,Y,,,Smart Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,99,10,10,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,Easy shopping & check out  Constant Email follow-up on your shipments,NULL,NULL
No,Yes,Promoter,10,1,2,3,N,2,Standard,0,2,46.98,Y,,,Y,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,10,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,"I will tell to shop at Companys.com,love my hole experience","Great website,clear pricing easy to manage",NULL
No,Yes,Promoter,10,0,2,2,N,1,Standard,0,1,66.75,,,,,,Y,Smart Post,Cannot Answer,NULL,Cannot Answer,NULL,Cannot Answer,NULL,Cannot Answer,10,10,10,10,10,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,NULL,NULL,NULL
No,No,Promoter,9,0,2,2,N,1,Standard,0,1,32,,,,,,,Sure Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,8,8,5,7,99,9,NULL,NULL,No,NULL,NULL,Product Delivery,NULL,NULL,NULL,NULL
No,No,Detractor,5,0,2,2,N,1,Standard,0,1,91,,,,,,,Sure Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,8,99,99,2,99,8,NULL,NULL,No,NULL,NULL,NULL,Price & Value,"Good: Words specified what was to be delivered, but in sizes not used by general public. Bad: Photo grossly exaggerated size of garnet",NULL,NULL
No,Yes,Passive,8,1,2,3,N,2,Standard,0,2,46.98,Y,,Y,,,,Sure Post,When expected,NULL,Cannot Answer,NULL,Cannot Answer,NULL,Cannot Answer,8,8,8,8,8,9,NULL,8,Yes by email,1 time,Low effort,NULL,Product Selection & Availability,NULL,NULL,NULL
No,No,Passive,8,1,2,3,N,1,Standard,0,1,57.5,,,,,Y,,Sure Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,7,8,99,8,99,9,NULL,NULL,No,NULL,NULL,NULL,Price & Value,Easy checkout,NULL,NULL
No,No,Promoter,10,1,2,3,N,1,Standard,0,1,35.99,Y,,,,,,Sure Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,5,99,10,99,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,smooth process and fast delivery,NULL,NULL
No,No,Promoter,10,1,2,3,N,2,Standard,0,6,56.94,Y,,,Y,,,Sure Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,99,99,10,10,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,Shopping online at Company's was very convenient. I like that I am able to track the progress of my shipment.,I have always had a pleasant experience ordering from Company's.,I originally wanted the rectangle pyrex dishes. However those were out of stock so I opted for the bowls instead.
